name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost,avg_sets_lost
dodin o.,Clay,2023,1,2,0,0,3,5,1
dodin o.,Grass,2021,1,1,0,0,2,2,0
dodin o.,Hard,2021,2,5,1,0,6,12,1
dodin o.,Hard,2022,1,8,0,1,5,16,0
doi m.,Clay,2021,1,5,0,0,4,10,0
doi m.,Clay,2022,1,4,0,1,2,8,0
doi m.,Grass,2021,1,3,0,1,3,6,0
doi m.,Hard,2021,7,11,6,1,15,26,0.5714285714285714
doi m.,Hard,2022,4,7,2,3,10,17,0.75
dolehide c.,Clay,2023,2,1,1,0,4,3,0.5
dolehide c.,Grass,2021,1,1,0,0,2,2,0
dolehide c.,Hard,2022,2,5,1,1,5,11,0.5
dolehide c.,Hard,2023,2,1,2,0,4,2,0
eikeri u.,Clay,2022,1,2,0,0,2,5,1
errani s.,Clay,2021,5,6,4,2,11,13,0.2
errani s.,Clay,2022,2,3,2,0,4,7,0.5
errani s.,Clay,2023,1,4,0,2,2,9,1
errani s.,Grass,2023,1,1,0,0,2,2,0
errani s.,Hard,2021,2,5,2,0,6,11,0.5
falkowska w.,Clay,2021,1,1,1,0,2,2,0
fernandez l.a.,Clay,2021,3,3,1,2,8,6,0
fernandez l.a.,Clay,2022,6,4,1,4,15,12,0.6666666666666666
fernandez l.a.,Clay,2023,3,5,1,2,9,11,0.33333333333333337
fernandez l.a.,Grass,2021,1,2,0,0,3,4,0
fernandez l.a.,Grass,2023,1,1,0,0,2,2,0
fernandez l.a.,Hard,2021,16,8,8,4,33,22,0.375
fernandez l.a.,Hard,2022,9,9,0,5,19,22,0.4444444444444444
fernandez l.a.,Hard,2023,6,6,1,2,14,12,0
ferro f.,Clay,2021,5,4,1,2,12,10,0.4
ferro f.,Clay,2022,1,2,0,0,2,4,0
ferro f.,Hard,2021,6,11,2,5,17,26,0.6666666666666666
fett j.,Clay,2023,1,1,1,0,2,2,0
fett j.,Hard,2021,1,2,0,0,2,4,0
flipkens k.,Grass,2022,5,3,5,0,12,8,0.4
flipkens k.,Hard,2021,1,5,1,0,4,11,1
frech m.,Clay,2021,2,3,0,0,5,6,0
frech m.,Clay,2023,3,3,2,0,6,7,0.33333333333333337
frech m.,Grass,2022,4,4,4,1,10,9,0.25
frech m.,Grass,2023,4,2,2,1,10,6,0.5
frech m.,Hard,2021,2,4,1,0,6,8,0
frech m.,Hard,2022,5,10,3,1,11,21,0.2
frech m.,Hard,2023,2,3,1,0,6,8,1
friedsam a.l.,Clay,2021,2,5,1,3,5,11,0.5
friedsam a.l.,Clay,2022,1,1,1,0,2,3,1
friedsam a.l.,Clay,2023,2,4,0,0,5,9,0.5
friedsam a.l.,Hard,2021,2,4,0,1,6,10,1
friedsam a.l.,Hard,2022,3,2,3,0,7,7,1
friedsam a.l.,Hard,2023,4,3,3,0,10,7,0.25
fruhvirtova l.,Clay,2021,1,1,1,0,2,2,0
fruhvirtova l.,Clay,2022,1,2,1,0,2,5,1
fruhvirtova l.,Clay,2023,2,5,1,4,5,11,0.5
fruhvirtova l.,Grass,2023,2,1,1,0,4,2,0
fruhvirtova l.,Hard,2021,1,1,0,0,2,2,0
fruhvirtova l.,Hard,2022,8,5,6,1,16,14,0.5
fruhvirtova l.,Hard,2023,6,6,2,2,17,14,0.33333333333333337
gadecki o.,Hard,2021,2,3,2,0,5,7,0.5
gadecki o.,Hard,2023,1,2,1,0,2,4,0
galfi d.,Clay,2021,3,1,3,0,7,2,0
galfi d.,Clay,2022,2,4,0,3,5,8,0
galfi d.,Grass,2022,1,1,0,0,2,3,1
galfi d.,Hard,2022,4,4,4,1,9,9,0.25
galfi d.,Hard,2023,3,6,2,1,7,13,0.33333333333333337
garcia c.,Clay,2021,8,7,1,5,18,15,0.125
